id,keem_line,husband_line,kemler_line,kaplan_line
115,f,f,t,f
24,f,f,t,f
26,f,f,t,f
402,f,t,f,f
461,f,f,f,t
677,f,f,f,t
469,f,f,f,t
470,f,f,f,t
453,f,f,f,f
164,f,f,f,t
508,f,f,t,f
662,f,f,f,t
870,f,f,f,f
561,f,f,f,f
498,f,f,f,t
500,f,f,f,t
507,f,f,f,f
499,f,f,f,t
889,f,f,f,f
546,f,f,f,t
510,t,f,f,f
547,f,f,f,t
548,f,f,f,t
549,f,f,f,t
551,f,f,f,t
557,f,f,f,t
558,f,f,f,t
552,f,f,f,t
554,f,f,f,t
564,f,f,f,f
566,f,f,f,t
568,f,f,f,t
572,f,f,f,t
573,f,f,f,t
574,f,f,f,t
577,f,f,f,t
147,f,f,f,f
550,f,f,f,f
559,f,f,f,f
15,f,f,t,f
576,f,f,f,t
565,f,f,f,t
567,f,f,f,t
560,f,f,f,f
880,f,f,f,t
726,f,f,f,t
608,f,f,f,t
648,f,f,f,f
725,f,f,f,t
881,f,f,f,t
724,f,f,f,t
656,f,f,f,t
657,f,f,f,t
819,f,t,f,f
838,f,f,t,f
655,f,f,f,t
668,f,f,f,t
669,f,f,f,t
671,f,f,f,t
636,f,f,f,f
637,f,f,f,f
638,f,f,f,f
660,f,f,f,t
661,f,f,f,t
649,f,f,f,t
651,f,f,f,t
663,f,f,f,t
666,f,f,f,t
639,f,f,f,f
672,f,f,f,t
683,f,f,f,t
686,f,f,f,t
676,f,f,f,t
681,f,f,f,t
684,f,f,f,t
690,f,f,f,t
685,f,f,f,t
131,f,f,t,f
652,f,f,f,t
674,f,f,f,t
682,f,f,f,t
678,f,f,f,t
805,f,f,t,f
673,f,f,f,t
675,f,f,f,t
680,f,f,f,t
687,f,f,f,t
699,f,f,f,t
839,f,f,t,f
712,f,f,f,t
708,f,f,f,t
707,f,f,f,t
709,f,f,f,t
710,f,f,f,t
713,f,f,f,t
720,f,f,f,t
721,f,f,f,t
715,f,f,f,t
723,f,f,f,t
745,f,f,f,t
746,f,f,f,t
744,f,f,f,t
804,f,f,t,f
802,f,f,t,f
803,f,f,t,f
796,f,f,f,t
798,f,f,f,t
799,f,f,f,t
801,f,f,t,f
521,t,f,f,f
846,f,f,f,t
810,t,f,f,f
811,t,f,f,f
806,f,f,t,f
820,f,f,t,f
824,f,f,t,f
842,f,f,f,t
847,f,f,f,t
848,f,f,f,t
816,f,f,f,t
817,f,f,f,t
818,f,f,f,t
840,f,f,t,f
13,f,f,t,f
865,f,f,f,t
858,f,f,f,t
290,f,f,f,t
25,f,f,t,f
1,f,f,t,f
93,f,f,f,t
4,f,f,t,f
821,f,f,t,f
822,f,f,t,f
51,t,f,f,f
58,t,f,f,f
122,f,f,t,f
125,f,f,t,f
216,t,f,f,f
218,t,f,f,f
233,t,f,f,f
239,t,f,f,f
240,t,f,f,f
241,t,f,f,f
242,t,f,f,f
243,t,f,f,f
174,f,f,t,f
244,t,f,f,f
245,t,f,f,f
943,t,f,f,f
50,t,f,f,f
836,f,f,t,f
22,f,f,t,f
41,t,f,f,f
42,t,f,f,f
123,f,f,t,f
52,t,f,f,f
53,t,f,f,f
56,t,f,f,f
57,t,f,f,f
59,t,f,f,f
124,f,f,t,f
126,f,f,t,f
401,f,t,f,f
129,f,f,t,f
130,f,f,t,f
426,f,f,t,f
136,t,f,f,f
137,t,f,f,f
138,t,f,f,f
139,t,f,f,f
148,f,t,f,f
149,f,t,f,f
399,f,t,f,f
427,f,f,t,f
585,t,f,f,f
421,f,f,t,f
146,f,f,f,f
5,f,f,t,f
54,t,f,f,f
944,t,f,f,f
171,f,f,t,f
172,f,f,t,f
173,f,f,t,f
176,f,f,t,f
192,f,f,t,f
222,f,f,t,f
224,f,f,t,f
225,f,f,t,f
228,t,f,f,f
198,f,t,f,f
197,f,t,f,f
247,t,f,f,f
